Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Money Williams,0,JR,G,6-4,200,Oakland CA,Oakland (CA),,19.2 Pts 4.2 Reb 5.3 Ast,money-williams-1
Te'Jon Sawyer,32,SR,F,6-8,252,Richmond CA,Salesian Prep,,10.7 Pts 5.0 Reb 1.0 Ast,tejon-sawyer-1
Brooklyn Hicks,3,JR,G,6-3,185,Seattle WA,Timberline (WA),,9.0 Pts 4.0 Reb 0.8 Ast,brooklyn-hicks-1
Tyler Thompson,4,SO,G,6-6,190,Fairfield CA,Vanden (CA),,9.4 Pts 4.4 Reb 1.4 Ast,tyler-thompson-3
Kenyon Aguino,24,FR,F,6-7,222,Albuquerque NM,Volcano Vista (NM),,8.8 Pts 4.3 Reb 1.7 Ast,kenyon-aguino-1
Tyler Isaak,8,JR,G,6-3,185,Alamo CA,San Ramon Valley (CA),,7.4 Pts 3.0 Reb 2.9 Ast,tyler-isaak-1
Grant Kepley,11,SO,G,6-4,180,Bellingham WA,Sehome (WA),,5.4 Pts 2.7 Reb 2.6 Ast,grant-kepley-1
Courtney Anderson,13,SO,G,6-5,182,Vallejo CA,Dublin (CA),,5.7 Pts 1.4 Reb 0.2 Ast,courtney-anderson-2
Connor Dick,10,JR,G,6-3,194,Missoula MT,Hellgate (MT),,3.0 Pts 1.7 Reb 0.3 Ast,connor-dick-1
Trae Taylor,1,SR,F,6-9,207,San Diego CA,Mission Bay (CA),,2.6 Pts 1.8 Reb 0.1 Ast,trae-taylor-1
Chase Henderson,2,JR,G,6-0,165,Des Moines IA,Hoover (IA),,2.4 Pts 0.7 Reb 0.7 Ast,chase-henderson-1
Kadyn Betts,7,JR,F,6-8,215,Pueblo CO,Pueblo Central (CO),,3.1 Pts 1.1 Reb 0.2 Ast,kadyn-betts-1
Amari Jedkins,5,JR,F,6-7,195,Racine WI,Case (WI),,1.5 Pts 1.3 Reb 0.0 Ast,amari-jedkins-1
Luke Moxon,22,FR,G,6-3,210,Arcata CA,Arcata (CA),,,luke-moxon-1
