season,game_number,date,time,type,site_flag,opponent,opponent_conference,srs,result_wl,team_points,opponent_points,overtime_text,w,l,streak,arena,location_type,overtime_flag,source_file,processed_at_utc,processed_at_local
2026,1,2025-11-03,9:00p,REG,,Northwest Indian,,,W,106.0,41.0,,1.0,0.0,W 1,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,2,2025-11-05,9:00p,REG,,Ottawa (AZ),,,W,73.0,39.0,,2.0,0.0,W 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,3,2025-11-08,4:00p,REG,@,Stanford,ACC,11.35,L,68.0,91.0,,2.0,1.0,L 1,Maples Pavilion,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,4,2025-11-11,10:00p,REG,@,Nevada-Las Vegas,MWC,2.95,W,102.0,93.0,,3.0,1.0,W 1,Thomas & Mack Center,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,5,2025-11-14,9:00p,REG,,Cal Poly,Big West,-6.86,W,90.0,82.0,,4.0,1.0,W 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,6,2025-11-18,8:00p,REG,@,Texas A&M,SEC,18.09,L,81.0,86.0,,4.0,2.0,L 1,Reed Arena,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,7,2025-11-23,4:00p,REG,,Lamar,Southland,-3.62,L,63.0,68.0,,4.0,3.0,L 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,8,2025-11-25,9:00p,REG,,Oakland,Horizon,1.75,L,87.0,95.0,,4.0,4.0,L 3,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,9,2025-12-03,9:00p,REG,,North Dakota State,Summit,2.04,L,72.0,81.0,,4.0,5.0,L 4,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,10,2025-12-06,8:00p,REG,@,North Dakota,Summit,-8.46,W,79.0,75.0,,5.0,5.0,W 1,Betty Engelstad Sioux Center,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,11,2025-12-10,9:00p,REG,,Salish Kootenai,,,W,102.0,46.0,,6.0,5.0,W 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,12,2025-12-17,9:00p,REG,,Montana Tech,,,L,75.0,82.0,,6.0,6.0,L 1,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,13,2025-12-20,12:00p,REG,@,Louisville (11),ACC,23.99,L,54.0,94.0,,6.0,7.0,L 2,KFC Yum! Center,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,14,2026-01-01,6:00p,REG,,Northern Arizona,Big Sky,-9.51,W,78.0,64.0,,7.0,7.0,W 1,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,15,2026-01-03,6:00p,REG,,Northern Colorado,Big Sky,-1.52,W,88.0,79.0,,8.0,7.0,W 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,16,2026-01-08,9:00p,REG,@,Idaho,Big Sky,-1.71,W,79.0,73.0,,9.0,7.0,W 3,ICCU Arena,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,17,2026-01-10,5:00p,REG,@,Eastern Washington,Big Sky,-5.64,L,65.0,66.0,,9.0,8.0,L 1,Reese Court,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
