season,game_number,date,time,type,site_flag,opponent,opponent_conference,srs,result_wl,team_points,opponent_points,overtime_text,w,l,streak,arena,location_type,overtime_flag,source_file,processed_at_utc,processed_at_local
2026,18,2026-01-17,9:00p,REG,@,Montana State,Big Sky,0.95,L,67.0,76.0,,9.0,9.0,L 2,Worthington Arena,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,19,2026-01-19,8:00p,REG,@,Northern Arizona,Big Sky,-9.51,W,98.0,72.0,,10.0,9.0,W 1,Findlay Toyota Court at Walkup Skydome,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,20,2026-01-22,9:00p,REG,,Weber State,Big Sky,-2.04,W,81.0,65.0,,11.0,9.0,W 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,21,2026-01-24,6:00p,REG,,Idaho State,Big Sky,-2.06,W,69.0,60.0,,12.0,9.0,W 3,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,22,2026-01-29,10:00p,REG,@,Portland State,Big Sky,0.25,W,64.0,60.0,,13.0,9.0,W 4,Peter W. Stott Center,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,23,2026-01-31,10:00p,REG,@,Sacramento State,Big Sky,-8.8,,,,,,,,,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,24,2026-02-05,9:00p,REG,,Eastern Washington,Big Sky,-5.64,,,,,,,,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,25,2026-02-07,6:00p,REG,,Idaho,Big Sky,-1.71,,,,,,,,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,26,2026-02-14,9:00p,REG,,Montana State,Big Sky,0.95,,,,,,,,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,27,2026-02-19,9:00p,REG,@,Idaho State,Big Sky,-2.06,,,,,,,,Reed Gym,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,28,2026-02-21,9:00p,REG,@,Weber State,Big Sky,-2.04,,,,,,,,Dee Events Center,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,29,2026-02-26,,REG,,Sacramento State,Big Sky,-8.8,,,,,,,,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,30,2026-02-28,,REG,,Portland State,Big Sky,0.25,,,,,,,,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
2026,31,2026-03-02,,REG,@,Northern Colorado,Big Sky,-1.52,,,,,,,,Bank of Colorado Arena,away,False,data/raw/um_schedule_2026_raw.csv,2026-02-02 03:30:22 UTC,2026-02-01 21:30:22 Central Standard Time
