datathrough,confonly,teamname,season,efg_pct,rankefg_pct,to_pct,rankto_pct,or_pct,rankor_pct,ft_rate,rankft_rate,defg_pct,rankdefg_pct,dto_pct,rankdto_pct,dor_pct,rankdor_pct,dft_rate,rankdft_rate,oe,rankoe,de,rankde,tempo,ranktempo,adjoe,rankadjoe,adjde,rankadjde,adjtempo,rankadjtempo,source_name,endpoint,processed_at_utc,processed_at_local
"Sunday, February 1",true,Boise St.,2026,52.09,6,16.227,4,31.073,4,45.177,1,54.634,9,15.835,10,24.079,1,36.911,5,112.543,4,109.533,7,66.2805,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Boston College,2026,46.652,18,16.224,9,24.232,16,34.152,11,49.462,4,15.105,11,31.142,11,36.129,10,95.4801,18,106.11,5,65.9656,13,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Boston University,2026,55.585,2,16.181,5,24.127,8,33.511,3,54.583,8,12.245,10,24.34,2,28.833,4,112.686,3,114.436,9,64.5981,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Bowling Green,2026,52.108,5,16.609,6,29.275,7,37.605,6,54.333,10,17.736,6,28.228,2,35.009,6,109.51,7,109.932,8,70.0771,6,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Bradley,2026,49.411,8,11.644,1,28.661,6,35.733,6,53.977,11,16.884,6,26.54,4,37.074,7,111.431,3,110.5,9,68.7141,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Brown,2026,44.799,8,17.275,7,29.213,6,26.95,7,52.249,5,17.067,2,27.313,2,44.974,8,95.9517,8,110.105,3,66.2905,5,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Bryant,2026,43.736,9,16.963,6,31.399,3,36.219,4,50.457,6,14.596,6,31.461,8,37.215,8,99.2159,7,110.656,9,62.4191,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Bucknell,2026,50.522,8,16.704,8,27.434,5,33.043,4,54.446,7,18.023,2,30.38,9,38.475,9,107.696,6,112.678,8,65.9358,5,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Buffalo,2026,57.639,2,15.561,3,26.888,12,36.979,8,55.519,12,16.561,9,32.164,9,31.466,4,116.925,3,116.497,12,69.1157,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Butler,2026,48.86,10,15.262,3,33.416,5,43.009,1,55.245,11,14.749,8,35.356,9,25.315,2,109.658,6,118.892,10,69.3218,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,BYU,2026,52.606,6,16.252,11,37.58,1,35.328,5,51.923,8,13.832,13,26.829,3,33.603,10,117.395,6,110.825,8,72.2984,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cal Baptist,2026,49.701,5,19.283,4,35.855,2,41.036,3,44.981,1,15.361,6,27.628,1,38.61,3,105.732,4,100.339,2,65.1702,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cal Poly,2026,53.55,3,20.005,11,30.052,7,35.801,8,55.587,10,17.078,7,34.177,10,31.259,2,109.054,3,115.032,10,74.525,2,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cal St. Bakersfield,2026,46.549,10,17.695,6,31.296,4,40.798,3,56.894,11,18.453,2,34.699,11,47.385,11,101.493,10,119.188,11,71.9261,5,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cal St. Fullerton,2026,50.766,8,16.007,1,23.844,11,41.96,2,55.164,9,23.949,1,31.781,8,33.49,5,104.717,8,105.083,5,74.4,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,California,2026,48.242,15,13.909,3,22.601,18,36.523,6,49.813,5,13.091,16,33.433,15,41.869,17,105.054,14,112.254,11,67.9014,11,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Campbell,2026,53.056,4,15.653,5,31.143,5,41.766,3,57.782,12,17.787,3,32.0,8,41.682,11,115.117,1,116.398,12,70.2763,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Canisius,2026,45.409,13,16.905,7,32.321,7,30.273,6,53.55,11,16.777,6,29.949,6,33.837,9,100.664,10,111.807,9,64.3841,10,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Central Arkansas,2026,57.052,3,12.825,1,30.189,5,33.273,7,56.385,8,18.917,2,25.926,3,30.255,5,122.961,1,109.655,4,67.5201,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Central Connecticut,2026,52.323,2,16.23,5,27.597,5,31.784,5,51.284,6,14.181,9,33.913,9,27.055,3,110.299,1,112.505,10,63.4637,6,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Central Michigan,2026,50.595,8,17.291,10,28.409,8,31.803,12,51.37,4,17.148,8,32.941,11,39.555,10,103.319,12,109.75,7,69.9775,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Charleston,2026,52.133,6,16.584,9,30.994,6,43.003,2,47.944,4,12.542,11,31.132,5,23.935,1,111.349,7,106.89,6,70.028,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Charleston Southern,2026,53.445,4,17.82,5,28.391,7,36.811,6,46.746,1,13.77,8,31.118,7,53.452,9,105.626,7,107.732,5,73.7946,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Charlotte,2026,56.904,2,17.927,10,35.793,4,45.188,1,49.81,8,13.53,13,34.286,10,38.476,8,119.234,2,114.837,11,63.3196,13,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
