player_name,team_name,season,position_raw,class,height,weight,position_group,position_group_rule,source_dataset
Jed Miller,Montana State,2026,G,SR,6-2,175.0,Guard,direct_guard,big_sky
Jeremiah Davis,Montana State,2026,G,SR,6-4,185.0,Guard,direct_guard,big_sky
Patrick Mcmahon,Montana State,2026,G,SR,6-7,190.0,Guard,direct_guard,big_sky
Seth Amunrud,Montana State,2026,G,JR,6-3,175.0,Guard,direct_guard,big_sky
Waka Mbatch,Montana State,2026,F,JR,6-10,203.0,Forward,forward_or_center,big_sky
Arne Osojnik,Northern Arizona,2026,G,JR,6-6,195.0,Guard,direct_guard,big_sky
Brennan Peterson,Northern Arizona,2026,G,FR,6-0,167.0,Guard,direct_guard,big_sky
Chris Komin,Northern Arizona,2026,G,FR,6-3,160.0,Guard,direct_guard,big_sky
Diego Campisano,Northern Arizona,2026,F,SR,6-6,200.0,Forward,forward_or_center,big_sky
Erez Poran,Northern Arizona,2026,G,FR,6-6,197.0,Guard,direct_guard,big_sky
Isaiah Shaw,Northern Arizona,2026,G,JR,6-7,190.0,Guard,direct_guard,big_sky
Jt Amundsen,Northern Arizona,2026,G,FR,5-8,160.0,Guard,direct_guard,big_sky
Karl Markus Poom,Northern Arizona,2026,F,SO,6-8,210.0,Forward,forward_or_center,big_sky
Kavon Bradford,Northern Arizona,2026,G,SO,6-2,180.0,Guard,direct_guard,big_sky
Oakland Fort,Northern Arizona,2026,G,SR,5-10,170.0,Guard,direct_guard,big_sky
Ryan Abelman,Northern Arizona,2026,G,SR,6-3,185.0,Guard,direct_guard,big_sky
Traivar Jackson,Northern Arizona,2026,F,SR,6-6,210.0,Forward,forward_or_center,big_sky
Walker Timme,Northern Arizona,2026,F,JR,6-7,220.0,Forward,forward_or_center,big_sky
Zack Davidson,Northern Arizona,2026,F,SO,6-8,224.0,Forward,forward_or_center,big_sky
Ariik Mawien,Northern Colorado,2026,G,SO,6-4,175.0,Guard,direct_guard,big_sky
Brock Wisne,Northern Colorado,2026,F,SR,6-9,230.0,Forward,forward_or_center,big_sky
Chancellor White,Northern Colorado,2026,G,JR,6-6,185.0,Guard,direct_guard,big_sky
Egan Shields,Northern Colorado,2026,C,JR,6-10,215.0,Forward,forward_or_center,big_sky
Hunter Caldwell,Northern Colorado,2026,C,SO,6-10,230.0,Forward,forward_or_center,big_sky
Ibu Yamazaki,Northern Colorado,2026,F,SR,6-7,215.0,Forward,forward_or_center,big_sky
Kaden Ericksen,Northern Colorado,2026,G,JR,6-4,185.0,Guard,direct_guard,big_sky
Quinn Denker,Northern Colorado,2026,G,SR,6-3,195.0,Guard,direct_guard,big_sky
Ring Nyeri,Northern Colorado,2026,F,SO,6-8,165.0,Forward,forward_or_center,big_sky
Steven Ramirez,Northern Colorado,2026,G,FR,6-4,205.0,Guard,direct_guard,big_sky
Tanner Braketa,Northern Colorado,2026,G,FR,6-1,180.0,Guard,direct_guard,big_sky
Vincent Delano,Northern Colorado,2026,G,SO,6-2,175.0,Guard,direct_guard,big_sky
Walker Asp,Northern Colorado,2026,F,SO,6-8,160.0,Forward,forward_or_center,big_sky
William Dixion,Northern Colorado,2026,G,FR,6-2,200.0,Guard,direct_guard,big_sky
William Humer,Northern Colorado,2026,F,SR,6-10,228.0,Forward,forward_or_center,big_sky
Zach Bloch,Northern Colorado,2026,G,SR,6-1,165.0,Guard,direct_guard,big_sky
Alex Dupre,Portland State,2026,G,SO,6-5,180.0,Guard,direct_guard,big_sky
Brayden Barron,Portland State,2026,F,FR,6-6,200.0,Forward,forward_or_center,big_sky
Brycen Long,Portland State,2026,G,SR,6-2,175.0,Guard,direct_guard,big_sky
Charles Chukwu,Portland State,2026,C,SR,6-8,210.0,Forward,forward_or_center,big_sky
Colt Ness,Portland State,2026,G,FR,6-0,170.0,Guard,direct_guard,big_sky
Isaac Brice,Portland State,2026,F,SR,6-6,205.0,Forward,forward_or_center,big_sky
Isaiah Williams,Portland State,2026,G,SR,6-7,190.0,Guard,direct_guard,big_sky
Jaylin Henderson,Portland State,2026,G,SR,6-3,175.0,Guard,direct_guard,big_sky
Kean Webb,Portland State,2026,C,SO,6-11,230.0,Forward,forward_or_center,big_sky
Kelcy Phipps,Portland State,2026,G,JR,6-2,175.0,Guard,direct_guard,big_sky
Keyon Kensie,Portland State,2026,G,JR,6-7,187.0,Guard,direct_guard,big_sky
Matthew Beatty,Portland State,2026,C,FR,6-10,215.0,Forward,forward_or_center,big_sky
Mozae Downing Rivers,Portland State,2026,G,SR,6-6,215.0,Guard,direct_guard,big_sky
Samuel Stewart,Portland State,2026,G,SR,6-4,180.0,Guard,direct_guard,big_sky
Sebastian Tidor,Portland State,2026,G,SR,6-5,195.0,Guard,direct_guard,big_sky
Terri Miller,Portland State,2026,F,SR,6-8,250.0,Forward,forward_or_center,big_sky
Tre Vaughn Minott,Portland State,2026,C,SR,6-9,280.0,Forward,forward_or_center,big_sky
Arman Madi,Sacramento State,2026,G,JR,6-6,220.0,Guard,direct_guard,big_sky
Brandon Gardner,Sacramento State,2026,F,SO,6-8,215.0,Forward,forward_or_center,big_sky
Davis Ambuehl,Sacramento State,2026,C,SR,6-7,230.0,Forward,forward_or_center,big_sky
Isaiah Bronson,Sacramento State,2026,G,FR,6-2,180.0,Guard,direct_guard,big_sky
Jahni Summers,Sacramento State,2026,G,JR,6-6,185.0,Guard,direct_guard,big_sky
Jayden Teat,Sacramento State,2026,G,FR,6-1,175.0,Guard,direct_guard,big_sky
Jeremiah Cherry,Sacramento State,2026,F,SR,6-11,280.0,Forward,forward_or_center,big_sky
Jeremiah Nyarko,Sacramento State,2026,F,SR,6-9,205.0,Forward,forward_or_center,big_sky
Mark Lavrenov,Sacramento State,2026,F,FR,6-8,220.0,Forward,forward_or_center,big_sky
Mataj Glover,Sacramento State,2026,G,SO,6-2,175.0,Guard,direct_guard,big_sky
Mikey Williams,Sacramento State,2026,G,SO,6-3,193.0,Guard,direct_guard,big_sky
Prophet Johnson,Sacramento State,2026,G,SR,6-3,185.0,Guard,direct_guard,big_sky
